"do_grid","loglik","loglik_se","rho_value"
532,-1464.76968076517,0.173937602022182,0.334383653948495
59,-1629.91204911571,25.9064738678961,0.132607800197287
52,-1665.84857282124,5.54812427607002,0.129621688196741
318,-1469.29970519141,0.132349011057863,0.243093944217504
534,-1466.36370761433,0.589347078688158,0.335236828805794
55,-1641.61614070722,1.92398602222544,0.130901450482689
47,-1626.12785852034,1.43883379354413,0.127488751053493
528,-1464.35325063706,0.280252850634887,0.332677304233897
536,-1467.09587377886,0.412141689897646,0.336090003663093
44,-1632.3271050599,21.5538159241088,0.126208988767545
529,-1467.09644359755,0.314747119677871,0.333103891662546
54,-1671.63653976612,4.94216482409802,0.13047486305404
53,-1612.29176550367,8.21815073690343,0.13004827562539
417,-1461.07749137753,0.250677400153329,0.285326099653804
41,-1663.44924221949,2.72153667243282,0.124929226481596
537,-1470.1492051514,0.67669543401187,0.336516591091742
43,-1631.92172839306,1.27615817507347,0.125782401338895
421,-1459.72178986778,0.105736905415365,0.287032449368402
268,-1481.33257266285,0.135184641147841,0.22176457278503
56,-1703.22340115187,7.83447048107967,0.131328037911339
64,-1629.1525799069,2.71931176196408,0.134740737340535
46,-1650.83771718985,1.00113859973795,0.127062163624844
42,-1620.41961066322,9.32963757006453,0.125355813910246
531,-1464.72676684293,0.205783495771589,0.333957066519845
530,-1465.32686065468,0.228754278624327,0.333530479091196
414,-1457.15207600386,0.288444091082467,0.284046337367855
189,-1531.49266931028,2.59696111551691,0.188064165921721
533,-1466.17597498988,0.345074690807408,0.334810241377144
526,-1464.67062908869,0.314643122074677,0.331824129376598
535,-1461.0345167036,0.218301036691303,0.335663416234443
409,-1458.63333839455,0.498906322870007,0.281913400224608
416,-1458.66753106563,0.308997504465707,0.284899512225154
413,-1455.77494146522,0.151625101700185,0.283619749939206
190,-1505.78697385126,4.50529967337615,0.18849075335037
527,-1463.14620033435,0.285894317436157,0.332250716805247
441,-1461.97851114102,0.191127191816109,0.295564197941391
462,-1460.95327310382,0.224420947843405,0.304522533943031
415,-1457.37349641949,0.188708397625634,0.284472924796505
45,-1598.40220276416,5.86430084881924,0.126635576196194
412,-1462.93085143971,0.13167965948068,0.283193162510556
454,-1460.60107529863,0.206742680706347,0.301109834513835
