do_grid,loglik,loglik_se,value,parameter
775,-1459.770772,0.174179118,533.7483062,beta_mu
411,-1457.721188,0.31103539,616.0358978,beta_mu
351,-1487.411324,0.71700776,1440.182826,beta_mu
98,-1460.589003,0.306864326,688.1983472,beta_mu
442,-1466.245122,0.194330099,213.7940454,beta_mu
579,-1470.476812,0.954145795,143.906919,beta_mu
527,-1466.775956,0.169621018,216.4556466,beta_mu
724,-1463.366203,0.155137113,144.8523468,beta_mu
557,-1464.658757,0.231026532,356.1146618,beta_mu
558,-1463.042116,0.319172097,618.5836475,beta_mu
47,-1460.419506,0.166229412,184.3151507,beta_mu
915,-1459.305958,0.256696422,456.4660075,beta_mu
693,-1466.737156,0.328299742,842.0953705,beta_mu
361,-1467.032412,0.321471291,181.6025797,beta_mu
923,-1464.22566,0.387009576,530.0901116,beta_mu
954,-1460.774219,0.18497633,460.15164,beta_mu
389,-1468.513475,0.487501227,282.646843,beta_mu
306,-1464.22579,0.350032889,197.4477522,beta_mu
662,-1464.43255,0.161968955,427.5703718,beta_mu
868,-1481.567575,0.726632902,1080.410458,beta_mu
892,-1459.425386,0.317973288,64.15400711,beta_mu
926,-1459.299409,0.15543318,388.6136427,beta_mu
187,-1484.731722,0.261484315,1387.911371,beta_mu
162,-1461.404517,0.207538316,297.9000662,beta_mu
46,-1459.433198,0.199352061,633.8969236,beta_mu
562,-1461.404517,0.207538316,297.9000662,beta_mu
268,-1481.567575,0.726632902,1080.410458,beta_mu
216,-1469.33342,0.412680361,928.0294519,beta_mu
355,-1460.1413,0.17510814,263.5634797,beta_mu
214,-1470.79941,0.714366183,525.4688042,beta_mu
439,-1482.673222,0.52123139,763.5610835,beta_mu
155,-1460.1413,0.17510814,263.5634797,beta_mu
919,-1472.584309,0.248896097,806.0928688,beta_mu
51,-1456.539244,0.109323903,322.4703241,beta_mu
975,-1459.770772,0.174179118,533.7483062,beta_mu
390,-1463.287558,0.41999805,194.1442795,beta_mu
564,-1458.116596,0.202089338,513.9127589,beta_mu
971,-1465.007588,0.485661916,271.3539725,beta_mu
167,-1461.606432,0.238896776,38.09689389,beta_mu
528,-1463.61034,0.224235017,856.9439519,beta_mu
213,-1458.553834,0.216955273,588.1644513,beta_mu
464,-1461.092153,0.202753514,261.5985194,beta_mu
435,-1461.286087,0.119423082,294.4600331,beta_mu
417,-1461.370194,0.256120684,695.4643215,beta_mu
73,-1468.987051,0.396604588,764.0941667,beta_mu
864,-1461.092153,0.202753514,261.5985194,beta_mu
388,-1466.132099,0.272478581,858.6315241,beta_mu
72,-1461.613101,0.119773786,220.5135052,beta_mu
525,-1477.239595,0.349825278,1019.036035,beta_mu
447,-1460.419506,0.166229412,184.3151507,beta_mu
147,-1462.767405,0.202936312,739.7942478,beta_mu
357,-1464.658757,0.231026532,356.1146618,beta_mu
445,-1461.830041,0.300194253,566.7955922,beta_mu
148,-1459.605633,0.279251031,587.4397567,beta_mu
43,-1464.251926,0.225616042,815.8104505,beta_mu
275,-1476.996956,0.356540731,1183.349465,beta_mu
279,-1469.617757,0.186745942,1165.503538,beta_mu
628,-1469.849627,0.662986809,112.1786695,beta_mu
386,-1461.93835,0.218757698,283.9294477,beta_mu
980,-1460.954842,0.383881609,562.7870764,beta_mu
601,-1474.228785,0.171949697,1328.0021,beta_mu
144,-1456.192242,0.143796226,613.608713,beta_mu
730,-1471.246572,0.273944846,1088.583161,beta_mu
387,-1484.731722,0.261484315,1387.911371,beta_mu
270,-1463.896556,0.088998566,211.1340811,beta_mu
728,-1463.61034,0.224235017,856.9439519,beta_mu
308,-1463.674202,0.164305605,833.188527,beta_mu
437,-1472.082522,0.373774549,820.7371017,beta_mu
474,-1468.751619,0.592618457,265.0447412,beta_mu
149,-1468.755365,0.284927172,686.7074297,beta_mu
583,-1460.995615,0.5066071,161.8711733,beta_mu
74,-1468.751619,0.592618457,265.0447412,beta_mu
212,-1460.029594,0.182562887,319.5921225,beta_mu
84,-1459.415271,0.112459036,575.8419163,beta_mu
974,-1458.032065,0.19539372,389.3788235,beta_mu
163,-1457.365451,0.187383341,382.2665786,beta_mu
360,-1466.463006,0.497700866,277.5974005,beta_mu
475,-1476.996956,0.356540731,1183.349465,beta_mu
587,-1484.731722,0.261484315,1387.911371,beta_mu
53,-1459.010471,0.311719077,401.4529451,beta_mu
530,-1471.246572,0.273944846,1088.583161,beta_mu
183,-1460.995615,0.5066071,161.8711733,beta_mu
158,-1463.042116,0.319172097,618.5836475,beta_mu
897,-1466.580296,0.366415832,701.6638274,beta_mu
869,-1482.204807,3.264388558,415.6853682,beta_mu
55,-1460.010961,0.270526457,378.9145589,beta_mu
211,-1457.721188,0.31103539,616.0358978,beta_mu
48,-1457.696666,0.37031448,346.2357168,beta_mu
438,-1457.190377,0.1821471,456.7006805,beta_mu
274,-1468.751619,0.592618457,265.0447412,beta_mu
894,-1463.34478,0.243174698,405.2104469,beta_mu
725,-1477.239595,0.349825278,1019.036035,beta_mu
532,-1461.63721,0.883226786,262.473487,beta_mu
49,-1458.415161,0.195166166,349.4031349,beta_mu
956,-1457.836477,0.093375332,420.4387002,beta_mu
865,-1460.123635,0.334592885,152.9922318,beta_mu
909,-1466.446676,0.610689077,160.2196778,beta_mu
430,-1471.488285,0.347303835,99.33868232,beta_mu
465,-1460.123635,0.334592885,152.9922318,beta_mu
563,-1457.365451,0.187383341,382.2665786,beta_mu
157,-1464.658757,0.231026532,356.1146618,beta_mu
395,-1470.352198,0.867979233,132.8401299,beta_mu
381,-1465.291598,0.511845599,796.3823022,beta_mu
45,-1461.830041,0.300194253,566.7955922,beta_mu
521,-1457.710919,0.148520991,539.4017039,beta_mu
887,-1468.997469,0.445853126,792.6135935,beta_mu
470,-1463.896556,0.088998566,211.1340811,beta_mu
160,-1466.463006,0.497700866,277.5974005,beta_mu
463,-1462.48087,0.133924839,713.4501826,beta_mu
7,-1468.606082,0.168935343,92.46365771,beta_mu
440,-1469.870978,0.424789474,801.1566564,beta_mu
362,-1461.404517,0.207538316,297.9000662,beta_mu
54,-1459.209241,0.183275343,270.7807949,beta_mu
523,-1464.22566,0.387009576,530.0901116,beta_mu
297,-1466.580296,0.366415832,701.6638274,beta_mu
732,-1461.63721,0.883226786,262.473487,beta_mu
218,-1465.793857,0.371000894,459.5874365,beta_mu
520,-1467.046659,0.264690012,770.5655081,beta_mu
269,-1482.204807,3.264388558,415.6853682,beta_mu
165,-1461.272411,0.351981022,459.1538458,beta_mu
981,-1465.291598,0.511845599,796.3823022,beta_mu
446,-1459.433198,0.199352061,633.8969236,beta_mu
895,-1466.347409,0.214145062,706.2123046,beta_mu
882,-1462.101222,0.179641366,117.9882326,beta_mu
916,-1463.436876,0.489533502,460.145506,beta_mu
380,-1460.954842,0.383881609,562.7870764,beta_mu
352,-1477.737748,1.118410792,1059.728971,beta_mu
153,-1461.570927,0.268781756,650.3837727,beta_mu
152,-1477.737748,1.118410792,1059.728971,beta_mu
164,-1458.116596,0.202089338,513.9127589,beta_mu
385,-1464.269983,0.406232543,364.3613112,beta_mu
272,-1461.613101,0.119773786,220.5135052,beta_mu
473,-1468.987051,0.396604588,764.0941667,beta_mu
893,-1466.737156,0.328299742,842.0953705,beta_mu
906,-1464.22579,0.350032889,197.4477522,beta_mu
889,-1461.534397,0.105178609,236.8133482,beta_mu
872,-1461.613101,0.119773786,220.5135052,beta_mu
443,-1464.251926,0.225616042,815.8104505,beta_mu
876,-1472.622786,0.120922963,137.123012,beta_mu
649,-1458.415161,0.195166166,349.4031349,beta_mu
850,-1470.073624,0.486097361,45.2997361,beta_mu
870,-1463.896556,0.088998566,211.1340811,beta_mu
222,-1457.636939,0.18927935,412.5247517,beta_mu
145,-1461.937546,0.317608644,490.4819301,beta_mu
191,-1459.752056,0.149583371,285.2373979,beta_mu
726,-1459.299409,0.15543318,388.6136427,beta_mu
223,-1464.506199,0.318170431,477.2301268,beta_mu
408,-1463.547923,0.448826901,177.026234,beta_mu
436,-1456.524438,0.098980094,415.3951689,beta_mu
298,-1460.589003,0.306864326,688.1983472,beta_mu
278,-1474.527009,0.449116578,448.0231875,beta_mu
867,-1466.724215,0.570324836,143.6376934,beta_mu
143,-1458.793448,0.122163055,474.2793928,beta_mu
522,-1459.321361,0.33901012,530.4245389,beta_mu
391,-1459.752056,0.149583371,285.2373979,beta_mu
56,-1456.051858,0.258402416,476.3577268,beta_mu
300,-1464.283706,0.255505918,754.2422348,beta_mu
354,-1460.774219,0.18497633,460.15164,beta_mu
721,-1457.710919,0.148520991,539.4017039,beta_mu
295,-1466.347409,0.214145062,706.2123046,beta_mu
472,-1461.613101,0.119773786,220.5135052,beta_mu
267,-1466.724215,0.570324836,143.6376934,beta_mu
731,-1460.042907,0.183452731,298.4699018,beta_mu
307,-1461.395023,0.157429912,502.1655558,beta_mu
467,-1466.724215,0.570324836,143.6376934,beta_mu
228,-1469.849627,0.662986809,112.1786695,beta_mu
146,-1457.743153,0.157388464,555.0671419,beta_mu
