"do_grid","loglik","loglik_se","beta_mu","beta_sd","b1","b2","b3","b4","b5","b6","iota","rho","S_0","I_0","tau"
26,-1032.07038686132,0.0271820030156812,472.673902589609,0.00317310921994959,-0.728058154694581,-0.559613737940256,1.3859012207426,-4.72699681048058,-1.9492633250782,0.0195519271181009,15.9432494764568,0.183117366238314,0.0353800069425004,4.83553797090783e-06,2.57005915350446
901,-1323.15966163283,0.00797133255938155,4052.76438654742,1.36213806835736e-09,-15.7940723447082,-0.804439016205368,-0.206064000193366,0.970956662100658,-4.59087118888766,-2.25153068178848,12.4006615354063,0.164881564671422,0.32673114971411,0.00132918134198136,18.6463722048808
948,-1155.06354571323,0.0195210229341631,482.436662917997,0.00171719303033171,-1.07789593992148,-0.512377605593728,0.717754400513296,-4.64414082578723,-6.70869625360165,0.143964768737443,20.6037403007821,0.148245200897232,0.0420732051084762,3.2108727022073e-06,7.1813362506054
544,-1157.18589656425,0.0177089673580156,444.004608348417,0.00141584976368165,-1.11614213907566,-0.161875482314907,0.477708519652951,-3.54042424704453,-3.16792364174072,-0.0341273735261386,22.0486610109288,0.136524579072381,0.0446894914550912,3.0192169513833e-06,7.29538865283578
27,-1060.1615920738,0.0246416233478293,526.323271601884,0.00333588557810171,-1.12088783662532,-0.452497318303577,1.18117602091559,-5.55920451519318,-2.04349589686889,-0.215499511352059,15.249763396765,0.186229823581522,0.0308627250888713,1.47946068256678e-05,3.41099833380564
493,-1373.7750231064,0.00632324593031295,4083.70182955855,3.28169122288853e-06,-6.91252524440322,-1.89085867215488,0.405605429807055,0.268858696519946,-2.78642658422966,-4.76056919659802,12.5102215398076,0.153049703484841,0.305876001041149,0.0014323301092071,24.4594113026287
485,-1370.00729829164,0.00738530302454318,3981.84857098783,0.00350342415670829,-10.5822835505485,-1.64218649462226,0.340761664832659,0.376708374751461,-2.86305817454206,-3.29881714135235,13.6769869541014,0.162228333488773,0.318606685910699,0.00127141867379515,23.9876486239546
568,-1011.30888753604,0.0315142409967236,554.509122119669,0.00576436790764998,-2.03371702026793,-0.0254231964080119,0.279126087421705,-3.71521820274005,-6.97296378951087,0.989232320066013,13.7400620671029,0.18033519187119,0.0315650002439346,1.12740784241973e-05,1.94773824521266
672,-1079.64291432124,0.0195584734284461,490.633276564713,8.89339194632479e-05,-0.856061527537112,-0.317664566325441,1.06741791986961,-4.29583891503343,-1.89109552120664,-0.160678030919201,17.8444336759758,0.176200622013054,0.0336691433614738,3.14997673184833e-06,4.0917112120771
676,-1163.92906394733,0.0156684305036821,428.475275860145,0.00339884341602105,-1.10651808910251,0.00302991161463493,0.45755454605688,-3.03503344570414,-3.64419948582154,0.219225080969787,22.9451919839063,0.139887682045137,0.0431765751143008,3.83107497089975e-06,7.63621343321699
76,-1053.83245451675,0.0226182224214047,477.268138197622,2.92667843211191e-05,-1.12192201545423,-0.12689421298619,0.94410580111146,-4.04477912592125,-1.99015715994806,0.156994863564074,18.4536645540963,0.179471557001377,0.03255946628712,1.201419746865e-05,3.21991703172524
186,-1341.82798644664,0.00766075137846767,3950.08587802196,9.77386998840959e-05,-6.78685481973598,-1.58649768602897,0.367263517746966,0.598451929303921,-3.01840517282416,-1.72955177302341,12.1833534931527,0.155413742647487,0.353081294878807,0.000733727403126289,20.6623540167955
427,-1402.43443057739,0.00699937635760962,4140.8916988487,0.000416745520021902,-11.7009556261903,-2.07827878361201,0.437814721546482,0.024565109701479,-2.28250747005423,-5.45987001672711,13.1426717321701,0.15692718688355,0.370880684517668,0.000502420268409147,28.3133487779333
184,-1301.80394215313,0.0083781880429944,4088.45232848338,0.000954017042510312,-11.1435337110212,-1.37127046537586,0.124204673735465,0.693405642774342,-3.56753793353291,-5.32651897438035,11.9473510674458,0.170811253354699,0.44915950525896,0.000535380279442835,16.5343516087413
540,-1403.89559021553,0.00528618507802403,4068.18435574194,0.000136265927414771,-7.12968896275645,-1.9488754720783,0.38163985188376,0.484292536608279,-2.76104076451569,-1.60558473797105,13.2742323068777,0.149353319548202,0.532647053326807,6.03242181915729e-05,28.5331573937719
620,-1335.94176390598,0.00890846795213121,4015.49156393055,0.000361220020889544,-10.1181447756666,-2.17210809966437,0.529937666846922,0.0376416681606319,-2.36563799119497,-6.47366166517428,12.9127027444482,0.166050462087065,0.226425083721876,8.20977854300264e-06,19.9824755483545
413,-1289.94843597017,0.0163841103042988,1511.92461460173,0.00238986301760355,-0.189913363316737,-2.33557627591187,2.50904117542189,-10.5408325650665,-3.04684953244195,-5.45246297046681,31.7632550552882,0.138212705158051,0.00954907111558558,4.15157411022739e-05,15.904197824571
682,-1195.65859594006,0.0126869728666612,420.014058008101,2.45239692759227e-05,-1.18978927034049,0.140691134340225,0.239486726234736,-2.51356118634304,-3.89821786098544,0.524508813638355,23.341487428252,0.134556129775558,0.0442850370511066,9.11740173431673e-06,9.36809554892293
945,-1388.36342649464,0.00660264031061981,3974.42801311978,2.25245963140597e-05,-5.83652456648608,-2.14408785958451,0.520543740283889,0.303097947592125,-2.35836314762867,-2.20988138026828,13.7077961856657,0.151911363640503,0.577962335956499,0.000249696631137053,26.3726593160408
677,-1157.7701829142,0.015333789589772,459.157969926963,0.00247269778110069,-0.922791067608076,-0.270891651635209,0.75417624001786,-3.81985762437363,-3.07061172195271,0.0443863951328626,20.3736093709363,0.146895475064476,0.0413658354541128,7.72031543958117e-06,7.32660686570287
565,-1085.94204876977,0.0253591880917598,424.667282965954,2.93115883779678e-05,-0.61783683792069,-0.0162602245644748,0.990266199130533,-3.30895421972314,-1.29725604176204,-0.0148736618930397,18.0224245291202,0.168548261493236,0.0382697635465373,9.47564650102473e-06,4.30413545553726
818,-1020.50641392292,0.0295882817436874,508.525237337271,0.000227008412547317,-1.70015413685322,-0.123469726875051,0.78553368112261,-4.82011233581951,-3.26720266739248,0.390133157825844,15.8706392772332,0.186386458794227,0.0327737855848827,1.21334117783211e-05,2.21772177089534
987,-1296.53591488059,0.00971014772277422,3972.48700712777,0.000903978065778279,-9.09839018655374,-1.59807193427182,0.404673263245934,0.444227823464872,-3.21450851941445,-2.589773365008,11.7970064867048,0.168826414998227,0.336115480831698,0.00168378157181907,16.055491036807
426,-1420.58432911265,0.00576650712313347,4180.49165085747,1.11756528891272e-05,-8.04456214761466,-2.33763271048023,0.51356650719581,0.233548995894226,-2.26695170993934,-3.76438116214061,13.7386167356147,0.145678841365152,0.531548592658155,0.000186482291508125,31.0077961781905
414,-1216.62505387096,0.0157906504639063,402.77025249138,0.000157044377165288,-1.07913122781371,-0.104732756453766,0.512296756949572,-3.20457090126623,-3.49336447370972,0.347379658974018,24.8676210402792,0.138459730273389,0.0485161495647123,2.68246836435716e-06,10.6627194969224
