"do_grid","loglik","loglik_se","value","parameter"
292,-6841.63501582458,9.45558017592578,0.63,"rho"
403,-8409.8443731912,38.2493908785967,0.07,"rho"
243,-7817.22813157631,25.2538906129279,0.321,"rho"
162,-7414.31504810355,16.5439143600781,0.441,"rho"
405,-5920.13461801127,6.62833041975042,0.082,"rho"
226,-2639.63086636366,5.17813367808221,0.214,"rho"
169,-7356.35821862692,37.6278799745668,0.485,"rho"
142,-8020.95633579819,25.4523952660616,0.315,"rho"
145,-7738.67581271994,2.2544158093125,0.334,"rho"
439,-7896.23327831491,7.61922005579687,0.296,"rho"
270,-7493.88916733449,21.5039791560351,0.491,"rho"
56,-7525.14370156674,2.02051031416753,0.403,"rho"
384,-7041.95924189286,4.32192792490521,0.58,"rho"
383,-6683.65814896981,12.4973594898215,0.573,"rho"
385,-6396.4575124966,3.13658552026231,0.586,"rho"
425,-2626.64331787194,7.81764382286644,0.208,"rho"
375,-7400.23899182536,2.79969885992971,0.523,"rho"
458,-7313.63063506364,18.9367590341298,0.416,"rho"
151,-7883.02940904115,24.3637964781062,0.372,"rho"
27,-7891.37490589423,31.8616729107751,0.221,"rho"
206,-6583.65992869658,13.3130005087381,0.089,"rho"
71,-7410.30857605137,4.02254870419984,0.498,"rho"
451,-7532.07039591671,62.0883812565458,0.372,"rho"
157,-7348.15507042136,9.29332739837925,0.41,"rho"
65,-7662.76228931383,8.27256426600074,0.46,"rho"
433,-4597.61540062054,40.9436137313203,0.259,"rho"
434,-7713.70957702147,22.2608815949417,0.265,"rho"
488,-7049.41615284972,28.6831846667771,0.605,"rho"
68,-7127.45735798722,25.0191100114712,0.479,"rho"
150,-7180.15176325388,43.4000473701064,0.366,"rho"
25,-2514.60041159137,3.05549800769806,0.208,"rho"
444,-7058.99776016719,11.8909790692454,0.328,"rho"
261,-7794.02711189701,3.80902000182524,0.435,"rho"
457,-7440.06740987765,17.7393397376928,0.41,"rho"
406,-6414.97249300866,3.9435949688389,0.089,"rho"
259,-7164.26489117934,15.0423083800369,0.422,"rho"
437,-5946.79392778657,20.1900815860417,0.284,"rho"
200,-6734.74594030884,37.8578039685294,0.68,"rho"
452,-7305.49218446238,10.4304427358679,0.378,"rho"
60,-7536.40238576716,10.1184136818918,0.429,"rho"
481,-7373.18246067782,0.924046084479002,0.561,"rho"
314,-5550.18310932775,7.96636185734534,0.139,"rho"
313,-5413.48881058446,40.376363711665,0.133,"rho"
218,-8432.52514534429,15.7115530888128,0.164,"rho"
215,-5034.70138034103,1.34070327296577,0.145,"rho"
220,-3617.79803895838,7.06688380970893,0.177,"rho"
18,-4537.71847638697,34.0398073330436,0.164,"rho"
493,-6380.57433454317,7.20413122785987,0.636,"rho"
307,-5869.4914230924,7.29402128406052,0.095,"rho"
14,-5386.7462533863,19.2004771970785,0.139,"rho"
128,-3580.85399185357,10.5968531701226,0.227,"rho"
352,-6847.02527264086,5.41400921245606,0.378,"rho"
122,-7886.43767950287,31.5144311634382,0.189,"rho"
350,-7558.88256455015,1.64216594061842,0.366,"rho"
467,-7406.67784320728,8.02880905532184,0.473,"rho"
344,-7466.2976062836,35.0796066169349,0.328,"rho"
474,-7027.06738030132,18.2801045328074,0.517,"rho"
472,-7212.93111048984,0.939327797458628,0.504,"rho"
332,-4522.69298016579,10.8102740627439,0.252,"rho"
185,-7051.16820014459,7.74491113536222,0.586,"rho"
278,-7057.96279196665,20.0872446436576,0.542,"rho"
187,-6890.27490604258,11.5601567602028,0.599,"rho"
251,-7550.95286249933,8.88948433656238,0.372,"rho"
320,-8603.70119695796,2.19412432743878,0.177,"rho"
248,-7877.50800616743,7.80427265643037,0.353,"rho"
418,-4505.18608795522,5.43960407154021,0.164,"rho"
249,-6608.55683259786,83.0042979476239,0.359,"rho"
507,-6307.51246532971,11.025885752098,0.095,"rho"
82,-7236.07623398122,1.82592155903906,0.567,"rho"
183,-7201.28552299379,9.48291297504301,0.573,"rho"
2,-9589.03233587057,1.02371094274583,0.063,"rho"
534,-5310.43181544802,22.6894535094019,0.265,"rho"
482,-7111.6946666033,1.17264182737041,0.567,"rho"
79,-7096.43997980846,59.8361980800883,0.548,"rho"
475,-6958.32771287971,30.9335236264776,0.523,"rho"
411,-5891.60783974287,10.5677652854275,0.12,"rho"
517,-3528.83065200403,90.6024906754789,0.158,"rho"
519,-4016.25481726338,65.0540918349431,0.17,"rho"
530,-6592.35418165103,48.0889312502897,0.24,"rho"
523,-2246.57147402498,43.9836605618209,0.196,"rho"
93,-6640.53701538883,6.21763318272677,0.636,"rho"
410,-6384.59793141986,12.4077079613736,0.114,"rho"
525,-2983.80059176833,23.0980497107913,0.208,"rho"
367,-7407.25906721844,8.14120310803025,0.473,"rho"
230,-4521.35597507044,1.4578038629053,0.24,"rho"
232,-6998.666533944,17.9426672885027,0.252,"rho"
515,-3974.48131161519,60.1372128215102,0.145,"rho"
518,-2425.13870715976,26.8359327259389,0.164,"rho"
229,-3229.79695865773,12.8594104117725,0.233,"rho"
94,-6902.45966029632,11.3844552497202,0.643,"rho"
91,-6547.13496497517,11.971406695098,0.624,"rho"
89,-6995.17428387443,34.3831263989061,0.611,"rho"
92,-6537.46181194783,10.2291957484274,0.63,"rho"
177,-7166.89420749748,47.485886667272,0.536,"rho"
536,-7883.57677424006,41.2067273634671,0.277,"rho"
354,-7549.17040403811,10.0475081620631,0.391,"rho"
549,-7641.32911808703,2.83859725876265,0.359,"rho"
502,-6167.86424206567,58.5167933465918,0.063,"rho"
547,-7405.59562813593,25.0544787800319,0.347,"rho"
172,-7217.42839184045,23.4445830961314,0.504,"rho"
582,-7369.97183668652,2.63952492217947,0.567,"rho"
141,-7614.81803160818,57.564701881278,0.309,"rho"
419,-2884.45684552998,30.76178414668,0.17,"rho"
32,-6747.53560375952,1.27223440411037,0.252,"rho"
590,-6423.94152572468,14.2603379741673,0.617,"rho"
269,-7101.04721550383,52.1912251443877,0.485,"rho"
271,-7058.83095174339,27.4462427654284,0.498,"rho"
572,-7095.06193771004,11.2345524955626,0.504,"rho"
465,-7327.35802067455,1.57128415478967,0.46,"rho"
561,-7472.59320017653,48.4568379118849,0.435,"rho"
388,-6564.09917348792,8.27846637043027,0.605,"rho"
59,-7376.46076809026,33.7701553837647,0.422,"rho"
460,-7551.54457963738,40.3952465380391,0.429,"rho"
600,-6645.66094292761,4.51448701391529,0.68,"rho"
599,-6733.80604955533,25.2069620794015,0.674,"rho"
380,-6982.80021043371,20.7190256052156,0.554,"rho"
137,-7949.17567464249,43.6482674214586,0.284,"rho"
552,-7462.77971901084,34.364420618192,0.378,"rho"
423,-8186.17953407522,45.3500794615024,0.196,"rho"
29,-4173.23536978317,9.89176504906285,0.233,"rho"
560,-7318.82133325592,39.5342287013175,0.429,"rho"
595,-6693.0985771703,7.79459526001355,0.649,"rho"
436,-6128.90037823623,26.805126786801,0.277,"rho"
571,-7512.12815307025,24.8712767759078,0.498,"rho"
577,-6990.01188332043,42.0574731846882,0.536,"rho"
550,-7495.56896642578,40.4243043409804,0.366,"rho"
598,-6735.87876224688,16.6035273092331,0.668,"rho"
584,-7161.79880073762,8.70686364116524,0.58,"rho"
152,-7524.14189035007,63.2439868770311,0.378,"rho"
583,-7040.63777903367,13.2655177290493,0.573,"rho"
156,-7410.83056913955,9.99637565922128,0.403,"rho"
69,-6904.46083127558,32.4142641359487,0.485,"rho"
449,-7875.55790731118,20.5738908845389,0.359,"rho"
321,-2252.17837699211,11.989410533184,0.183,"rho"
