Parameter,median_value,upper_95,lower_95,upper_50,lower_50
Rnaught[94],1.6988254904566753e-6,2.820586641458913e-6,9.176109963137879e-7,2.0367154426531355e-6,1.4037090161358093e-6
Rnaught[95],1.6849256937898359e-6,2.839846084349065e-6,8.959679254875766e-7,2.0216350603968887e-6,1.383771383831294e-6
Rnaught[96],1.6693761773655904e-6,2.7941307837290586e-06,8.766784571996474e-7,2.0047324057507378e-6,1.3665655112145574e-6
Rnaught[97],1.6664558313647824e-6,2.7524506118955946e-6,8.703762919407743e-7,1.997379754175594e-6,1.3637174990952514e-6
Rnaught[98],1.6791242288509451e-6,2.7449444234901962e-6,8.73777272848636e-7,2.0031015539968192e-6,1.3750916387053943e-6
Rnaught[99],1.6925829691326107e-6,2.7421809649982548e-6,9.095061015349585e-7,2.014606074909867e-6,1.3892921383219727e-6
Rnaught[100],1.7183907985413072e-6,2.7780202664165297e-6,9.511995467504739e-7,2.042878186498458e-6,1.4173834435184773e-6
Rnaught[101],1.7552974785140481e-6,2.807655701564661e-6,9.855624870645743e-7,2.065758922673465e-6,1.459918071854046e-6
Rnaught[102],1.8004869683525174e-6,2.8230634159082714e-6,1.0510810339790567e-6,2.1053927885174832e-6,1.5139020997062526e-6
Rnaught[103],1.8567950166774492e-6,2.8821536745430184e-6,1.1024678661134412e-06,2.156942329894317e-6,1.5729767369029277e-6
Rnaught[104],1.906280288933728e-6,2.8947064039702864e-6,1.1526209493495697e-6,2.2024087444512283e-6,1.6318950708717008e-6
Rnaught[105],1.9695605744780977e-6,2.9350276027727992e-6,1.2172122090658057e-6,2.2702422106606877e-6,1.6938929268091627e-6
Rnaught[106],2.046385128499628e-6,3.041869928849503e-6,1.2760344939824744e-6,2.338762394009316e-6,1.7663203256584759e-6
Rnaught[107],2.113050638647289e-6,3.1458792703323823e-6,1.347447344431661e-6,2.4133837641500587e-6,1.835713482865542e-6
Rnaught[108],2.1816770939251307e-6,3.2413459010340653e-6,1.4015698987832189e-6,2.4957051126994303e-6,1.9016956044030234e-6
Rnaught[109],2.2453841560998646e-6,3.3315936516950493e-6,1.470841530199158e-6,2.556608094880665e-6,1.9673937941032962e-6
