Parameter,median_value,upper_95,lower_95,upper_50,lower_50
escape_prob[80],0.9999909685224296,0.9999968374022938,0.9999746130207355,0.9999939995814371,0.999986561244538
escape_prob[81],0.9999906922675532,0.9999967802012676,0.9999737143185518,0.9999938917980125,0.9999860891152865
escape_prob[82],0.999990555787535,0.9999967558247402,0.9999733274860774,0.999993797542823,0.999985794016624
escape_prob[83],0.9999905654699113,0.9999968233830251,0.9999734694206395,0.9999937831829173,0.999985882753894
escape_prob[84],0.9999907339339755,0.999996893874646,0.9999740060199849,0.9999938592108214,0.9999861558117737
escape_prob[85],0.99999101659987,0.9999970492466995,0.9999747171367285,0.9999940688609861,0.9999867466590442
escape_prob[86],0.9999915459494336,0.9999972193232548,0.9999759075760569,0.999994440611461,0.9999875467928995
escape_prob[87],0.9999920166970986,0.9999973883419269,0.9999777259094569,0.9999946525675014,0.9999883333397885
escape_prob[88],0.9999927174095655,0.9999976652241013,0.9999795342760371,0.9999951289030256,0.999989353280486
escape_prob[89],0.9999935453732505,0.9999978608879806,0.999981187602615,0.9999957294529593,0.9999904710305794
escape_prob[90],0.9999943763084833,0.9999980814749104,0.9999828486453218,0.9999963073282464,0.9999915027826765
escape_prob[91],0.9999950410361063,0.9999982484341821,0.9999844401866815,0.9999967547752395,0.999992401722772
escape_prob[92],0.9999956492214966,0.9999983390698338,0.9999856260169417,0.999997112857868,0.9999932788292414
escape_prob[93],0.9999962627054275,0.9999984825592887,0.9999866328560549,0.9999974267444083,0.9999942009119921
escape_prob[94],0.9999971024781306,0.9999992340195479,0.9999876886601777,0.9999984367787504,0.9999950684627932
escape_prob[95],0.9999975398616652,0.9999992580843546,0.9999884258214636,0.9999986305885329,0.9999956724756954
escape_prob[96],0.9999976963073809,0.9999992585098829,0.9999891384058079,0.9999986364607869,0.9999959038781674
escape_prob[97],0.9999976641862645,0.9999992410666582,0.9999893076035822,0.9999985778508061,0.9999958525687266
escape_prob[98],0.9999974772043432,0.9999991977687709,0.9999890405348557,0.9999984797220718,0.9999955691674177
escape_prob[99],0.999997145974584,0.9999991164228681,0.9999883089292823,0.9999983387515188,0.9999951488992238
escape_prob[100],0.9999966825979377,0.9999990165721202,0.9999871374246112,0.9999981480269613,0.9999944744993169
escape_prob[101],0.9999960994368573,0.9999989236407983,0.9999853287575685,0.9999978833387638,0.9999935519553305
escape_prob[102],0.9999953037263605,0.9999987624901328,0.9999828155631596,0.9999974005366379,0.9999922562286283
escape_prob[103],0.9999940335699702,0.9999985341720472,0.999979594413931,0.999996361502984,0.9999904384599353
escape_prob[104],0.9999922546183,0.9999970648742591,0.9999757423042254,0.9999948796383512,0.999988142329167
escape_prob[105],0.9999902482879449,0.9999978658346348,0.9999693890168023,0.9999938439746,0.9999851640902833
escape_prob[106],0.9999876993701142,0.9999963963901013,0.9999612945681399,0.9999922620078856,0.99998091319903
escape_prob[107],0.9999840224996202,0.9999958997614085,0.9999523830607919,0.9999900819937315,0.9999752970123845
escape_prob[108],0.9999791748068407,0.9999952182698626,0.9999426272855806,0.9999871510134307,0.9999681837440837
escape_prob[109],0.9999729678031398,0.999994090198491,0.999931807800812,0.9999829724006281,0.9999599420048458
escape_prob[110],0.9999656414574414,0.9999921678303413,0.9999218715621728,0.9999774430633894,0.9999514766778024
escape_prob[111],0.999958645911962,0.9999896355313578,0.9999136330473084,0.9999714987529158,0.9999442927675198
escape_prob[112],0.9999542595492151,0.9999869349050114,0.99990777311018,0.9999675281987594,0.9999401121611995
escape_prob[113],0.9999563565481189,0.999987204314773,0.9999102732565234,0.9999691586850563,0.9999423213547105
escape_prob[114],0.9999630477895358,0.9999896475647398,0.999920116857947,0.9999743620660124,0.9999495505159273
escape_prob[115],0.9999706305074492,0.9999923592330461,0.9999321696425048,0.9999804830513213,0.9999587266138191
escape_prob[116],0.9999776174347351,0.9999945930704416,0.9999436469085662,0.999985661818463,0.9999675396664787
escape_prob[117],0.9999832817852099,0.9999962590776781,0.9999534302514854,0.9999897485499663,0.9999747454514223
escape_prob[118],0.9999874618014781,0.9999972793686326,0.9999595566222961,0.9999925781241892,0.9999800826062428
escape_prob[119],0.9999903103824394,0.9999977266104787,0.9999636783198761,0.9999943614410984,0.9999838053074753
escape_prob[120],0.9999919863028155,0.9999979149652823,0.9999658785953421,0.9999953119567149,0.9999862769032329
escape_prob[121],0.9999929196745295,0.9999979926141553,0.9999666911411419,0.999995811091561,0.9999877364110734
escape_prob[122],0.9999933726057766,0.9999987064646485,0.9999663912412395,0.9999961345662951,0.9999883949785757
escape_prob[123],0.999993403646015,0.9999978599919394,0.9999642435127681,0.9999959459382282,0.9999885385900975
escape_prob[124],0.9999931559294797,0.9999977862009446,0.9999604708928824,0.999995802549234,0.9999882355782761
escape_prob[125],0.9999929148353051,0.9999985989843218,0.99995438409574,0.9999958746526281,0.999987579208435
escape_prob[126],0.9999924827388696,0.9999976417067655,0.999945714499988,0.9999955079160238,0.9999866450434778
escape_prob[127],0.9999918014635916,0.999998601090442,0.9999367977458133,0.9999955726541341,0.9999851381749147
escape_prob[128],0.9999910327770625,0.9999985568572333,0.9999289656461998,0.9999954003036502,0.9999827579472822
escape_prob[129],0.9999897163631823,0.9999984257818263,0.9999226791110869,0.9999948451544296,0.9999795601242983
escape_prob[130],0.9999877494813274,0.999998171460715,0.9999190026183917,0.9999937032790682,0.9999760266243551
escape_prob[131],0.9999851107536608,0.9999966189852367,0.999918356111986,0.9999920275789678,0.9999714340892181
escape_prob[132],0.999981732715322,0.9999960730499238,0.9999162066964784,0.9999900293401557,0.9999656358028793
escape_prob[133],0.9999772815563344,0.9999953605937302,0.9999127536411277,0.9999876998218376,0.999958805849198
escape_prob[134],0.9999723444681035,0.9999943121418184,0.9999077151669653,0.9999849042099527,0.9999513453608497
escape_prob[135],0.9999670025673562,0.9999929092725068,0.9999004802986714,0.9999818916209939,0.9999437548695638
escape_prob[136],0.9999626589940984,0.9999916969983155,0.9998924530066028,0.9999790710006693,0.9999363367881254
escape_prob[137],0.9999582572028574,0.9999903634368194,0.9998792929743483,0.9999770619166762,0.9999306694260188
escape_prob[138],0.9999560196889503,0.9999897723235683,0.9998657885534068,0.9999762107682791,0.9999280129275686
escape_prob[139],0.9999578802361677,0.9999900124463453,0.9998583084371468,0.9999761964355451,0.9999268077860095
escape_prob[140],0.9999619493045947,0.9999913130183185,0.9998623331742258,0.9999778955525414,0.9999286144554168
escape_prob[141],0.9999665195839943,0.9999932076452427,0.9998729387057397,0.9999809121088322,0.9999349344309323
escape_prob[142],0.9999710224402723,0.9999947874902515,0.9998841228622999,0.9999842148537368,0.9999442012668582
escape_prob[143],0.9999756899595185,0.9999959267004009,0.9998921818038001,0.9999871964696563,0.999953756458567
escape_prob[144],0.999980016352254,0.9999967291768495,0.9999046405684092,0.9999896243149109,0.9999617101039818
escape_prob[145],0.99998328839497,0.9999970612847724,0.9999135375503059,0.9999912824874941,0.9999680618048679
escape_prob[146],0.9999855664399977,0.9999972471148361,0.9999181675583756,0.9999922738810116,0.9999722433595327
escape_prob[147],0.9999866960583171,0.9999973336874712,0.999921124928535,0.999992747087056,0.9999747632183054
escape_prob[148],0.999987026916789,0.9999973786357669,0.9999229181134259,0.9999929895754978,0.9999751034105351
escape_prob[149],0.9999865550777692,0.999997346872412,0.9999210455306095,0.9999929063947339,0.9999731343424977
escape_prob[150],0.9999852916904353,0.9999973217342115,0.9999139391068282,0.9999926175824485,0.9999683591389614
escape_prob[151],0.9999832613488082,0.9999972968307398,0.9998953397243955,0.9999921252410764,0.9999605206915747
escape_prob[152],0.9999804871437727,0.9999973572379804,0.9998472351151837,0.9999915450266679,0.9999495219844021
escape_prob[153],0.9999770066877187,0.9999977943173884,0.999732634123409,0.9999908785602788,0.9999327960650819
escape_prob[154],0.9999728415424267,0.999997317886786,0.9993702267571395,0.9999900584228467,0.9999044928738878
escape_prob[155],0.9999669276119763,0.9999973558821714,0.9984490077252302,0.9999892928419587,0.999858403610369
gamma[1],-11.756269896060022,-11.336887590366292,-12.066446508865907,-11.622386233617796,-11.870401352563777
gamma[2],-11.855839196810543,-11.494915018648497,-12.149821157683775,-11.742644536776542,-11.955873052200667
gamma[3],-11.965382520643146,-11.671983869822082,-12.232587762529723,-11.869233719717988,-12.066463519435992
gamma[4],-12.126977215031893,-11.872310743469091,-12.355173685301192,-12.043518696981616,-12.211385509906782
gamma[5],-12.317005544182503,-11.992561183008094,-12.585657416198828,-12.196082339021775,-12.412783558820092
gamma[6],-12.491621714896525,-12.150731810413047,-12.837275392818597,-12.369832414639106,-12.601904995194978
gamma[7],-12.670285675992199,-12.333295492343233,-12.98567760488124,-12.557418565745289,-12.778296413989322
gamma[8],-12.832224164829789,-12.535835076330802,-13.130561008496796,-12.723729129638448,-12.937850569704741
gamma[9],-12.947389053542258,-12.61113565131876,-13.297181275213536,-12.832636771704028,-13.05973100483663
gamma[10],-12.996909435761626,-12.638764939927128,-13.400688185001602,-12.868485825918277,-13.1387316371503
gamma[11],-13.024480363946232,-12.631681994876441,-13.478653168999053,-12.88200672296274,-13.194265837349953
gamma[12],-13.05694540966686,-12.611354638985167,-13.541065686442353,-12.890875294931558,-13.226291959053313
gamma[13],-13.052404005851693,-12.599964684932974,-13.586570749914223,-12.874302648191897,-13.24044794121192
gamma[14],-13.047308379390714,-12.556796615646178,-13.603335720636887,-12.864201568945251,-13.233226656250011
gamma[15],-13.044563860205429,-12.568559932790372,-13.610221459433527,-12.855561495671394,-13.235824410642797
gamma[16],-13.036167514110732,-12.568875780250456,-13.611239540854136,-12.855507669984,-13.230365078729687
gamma[17],-13.0292860682602,-12.56294583836874,-13.623449755923254,-12.845578030345827,-13.221320783747952
gamma[18],-13.020427758890552,-12.552360532074886,-13.608869532269374,-12.840312378965177,-13.210471118058088
gamma[19],-13.015981810968722,-12.555440336487377,-13.616906868055093,-12.838218411356698,-13.205126610234714
gamma[20],-13.008487966275457,-12.538647576287243,-13.647908227540801,-12.82414600090808,-13.208806139079801
gamma[21],-12.999511670318999,-12.524867142544315,-13.641758988430901,-12.821717818197035,-13.205395672329637
gamma[22],-12.995074061233248,-12.50072149716951,-13.616542820566925,-12.814873215031865,-13.192797512288136
gamma[23],-12.987742200945856,-12.483231148431498,-13.623373249594449,-12.806009162840397,-13.180562287708339
gamma[24],-12.969129383886031,-12.48403161870602,-13.577263950257858,-12.795456029903931,-13.159168041799248
gamma[25],-12.955395449097567,-12.45208983812737,-13.555457962150589,-12.774978650895441,-13.152643559718982
gamma[26],-12.944306660275593,-12.446021652440605,-13.510975259759743,-12.770409472424676,-13.13189341152571
gamma[27],-12.926402909723489,-12.437518891290225,-13.47870122853213,-12.755700676108132,-13.108265580410364
gamma[28],-12.906926170707656,-12.441824712586191,-13.43942388935894,-12.741876077053371,-13.083964374652675
gamma[29],-12.889753458371395,-12.451742980694126,-13.405690550838418,-12.735399892080855,-13.060049236716997
gamma[30],-12.879506263457387,-12.466239749155623,-13.37736794823671,-12.737198066630992,-13.033040525306172
gamma[31],-12.874066997479147,-12.450152987860164,-13.356608583565562,-12.729270256551283,-13.022681783588592
gamma[32],-12.870019567969118,-12.454168822622853,-13.346909571245174,-12.725139262679571,-13.013272144533193
gamma[33],-12.867569907977678,-12.457962400455232,-13.338657849821605,-12.715900490176836,-13.024517091341625
gamma[34],-12.866660448511926,-12.455069298528759,-13.33416883906738,-12.716026026715983,-13.0249033722246
gamma[35],-12.872147195710308,-12.447584536544388,-13.347900261101184,-12.719099423309896,-13.025825458401624
gamma[36],-12.876107311171193,-12.427002789294423,-13.365202207370373,-12.7203462549658,-13.033246161192197
gamma[37],-12.881620188724018,-12.42861235491107,-13.374789899588409,-12.724075299413656,-13.043126244303098
gamma[38],-12.886649172160464,-12.423945545850293,-13.39210729907731,-12.72780208897666,-13.053183290825459
gamma[39],-12.900129186096978,-12.43883353600921,-13.412669899595942,-12.736173164550456,-13.067707797166847
gamma[40],-12.905173057332743,-12.424673125602647,-13.444974660423279,-12.738538235817987,-13.076138706303691
gamma[41],-12.912227314806604,-12.432357650553735,-13.461915817251837,-12.74318161418832,-13.088661658695587
gamma[42],-12.920448039328264,-12.427069954949905,-13.487937411767396,-12.748050193566874,-13.101516159192927
gamma[43],-12.926352404883282,-12.43686147984151,-13.488965241409723,-12.758921850936636,-13.107581114796872
gamma[44],-12.934079888127702,-12.450517552443706,-13.483519174846608,-12.768818054825074,-13.112464500382549
gamma[45],-12.956048472777201,-12.475917218979447,-13.503283874538441,-12.791598991415743,-13.128511974943294
gamma[46],-12.977606243345704,-12.528658312393485,-13.508793852631538,-12.815020684460382,-13.14895845400727
gamma[47],-12.998331675348801,-12.556882040412626,-13.514106633170801,-12.841673149326311,-13.158933282670327
gamma[48],-13.016955906830233,-12.576179658755592,-13.52331487363053,-12.860182275061957,-13.177714027737595
gamma[49],-13.027621647543189,-12.611558416942344,-13.532408740530794,-12.880832948495613,-13.18845300096511
gamma[50],-13.037277491110643,-12.627025096352622,-13.530821117289372,-12.892819979585857,-13.189558949051918
gamma[51],-13.040094472286548,-12.631860386416967,-13.5112842701003,-12.902514367521427,-13.19332630960619
gamma[52],-13.037163624317628,-12.625985253266746,-13.469320321230317,-12.898233461505045,-13.177350559047998
gamma[53],-13.023659642449744,-12.604562390543709,-13.456346889864045,-12.885624742066419,-13.167012191209604
gamma[54],-13.015699006162876,-12.605111340007834,-13.450504533137693,-12.875140771541913,-13.153306782999858
gamma[55],-12.999391203230797,-12.58038408181318,-13.42878517229692,-12.863295026781904,-13.138431969154668
gamma[56],-12.988338767871657,-12.590556504113724,-13.414164017285124,-12.854155624784132,-13.123215178024946
gamma[57],-12.981094501204737,-12.591921385526746,-13.41830607822739,-12.847221088738472,-13.11954968680979
gamma[58],-12.974683155537827,-12.582003571916578,-13.400897144178508,-12.842831113729327,-13.114363724521152
gamma[59],-12.980753396482253,-12.579347202023946,-13.396055875584688,-12.844022114536742,-13.119382785919159
gamma[60],-12.975045912488298,-12.56052538089693,-13.404956472438831,-12.840251831336186,-13.114699861811324
gamma[61],-12.97871825728047,-12.558056238057583,-13.419592314999752,-12.838324565412906,-13.118949471938924
gamma[62],-12.981823017522187,-12.551549727241614,-13.425532563913256,-12.833240776332303,-13.128525380361754
gamma[63],-12.991458427955893,-12.539674306999565,-13.4493483064041,-12.838726482047113,-13.145373411415804
gamma[64],-12.994426137220865,-12.54295893763771,-13.476242887530876,-12.838757209123331,-13.153743422591468
gamma[65],-12.998960363319323,-12.545113985666436,-13.497342678712494,-12.84203909684325,-13.159872056930567
gamma[66],-12.999115878456418,-12.532936995740686,-13.499179260574248,-12.839667717771457,-13.166171930876889
gamma[67],-13.012225062432469,-12.550166873846397,-13.524941522597866,-12.849556276120504,-13.180672175035774
gamma[68],-13.03546957146483,-12.57656776926521,-13.55433788964857,-12.870656480683705,-13.201137853143521
gamma[69],-13.056259930463845,-12.602476849295533,-13.572880721630378,-12.889951720623083,-13.223758161558104
gamma[70],-13.079139394218451,-12.614526670497703,-13.609014772189692,-12.919361148504137,-13.245027928767913
gamma[71],-13.096467575406098,-12.633834379209699,-13.613123189940355,-12.938269488727057,-13.262223409062436
gamma[72],-13.114512537906108,-12.656493557023664,-13.629544404457302,-12.952685457545314,-13.280524911172524
gamma[73],-13.130126056732703,-12.67401763349636,-13.62663602502532,-12.976596240158344,-13.291603131086324
gamma[74],-13.147103384907968,-12.710037424078468,-13.663217170792878,-12.988441530544073,-13.312818386175564
gamma[75],-13.165452239986777,-12.731391966723546,-13.663916123751246,-13.013755096941043,-13.324339548875688
gamma[76],-13.179183849664629,-12.747785875211253,-13.68064499000305,-13.034707013232305,-13.337468785817634
gamma[77],-13.197932939845222,-12.77730194334168,-13.684712645414342,-13.051387912208,-13.350950676879279
gamma[78],-13.208531875412058,-12.804133999172137,-13.706563440715454,-13.066500142327676,-13.362754510258107
gamma[79],-13.223296401623319,-12.815522015257637,-13.721149796100308,-13.079007774421648,-13.374547250980095
gamma[80],-13.229796099617143,-12.818949536198517,-13.710844525526811,-13.083983631478668,-13.379372766568192
gamma[81],-13.233023836033794,-12.818321292550745,-13.704035419074845,-13.0872493398396,-13.383133158492107
gamma[82],-13.229806646935238,-12.807829865093167,-13.69718529350352,-13.083234168036011,-13.380597356059349
gamma[83],-13.230660071426078,-12.809841218882974,-13.702087879567987,-13.085454812994982,-13.378327283011307
gamma[84],-13.222956448933278,-12.80090682509166,-13.705537701455038,-13.07742402742654,-13.376068253397433
gamma[85],-13.21285973953323,-12.778522318404272,-13.696002225920664,-13.065453238093895,-13.364387372620378
gamma[86],-13.209703429990956,-12.782374752982399,-13.698256110283154,-13.060916309138701,-13.363349654360178
gamma[87],-13.202926787096619,-12.77177240027012,-13.708722291001276,-13.053199809631677,-13.360440582389451
gamma[88],-13.20718628794722,-12.76037504995402,-13.737396516528717,-13.047870936913265,-13.369287998352439
gamma[89],-13.202221925908397,-12.74955575914278,-13.73308342182385,-13.043827471000675,-13.374341287410083
gamma[90],-13.211807898389587,-12.747186925245817,-13.768858261767521,-13.045797759728716,-13.385206033201985
gamma[91],-13.224280003465573,-12.742237783387077,-13.789400187747582,-13.054064075781813,-13.40684104034025
gamma[92],-13.246841930244564,-12.755173116038293,-13.805859696629117,-13.073554872599386,-13.426484266027035
gamma[93],-13.270198217032377,-12.76822752975915,-13.84699540342413,-13.093704583293848,-13.455103245693016
gamma[94],-13.285573433675834,-12.778565665809868,-13.901492289279169,-13.104172124806134,-13.476392527306698
gamma[95],-13.293789093774722,-12.771760702914357,-13.925361222063339,-13.11160393812922,-13.490697899507003
gamma[96],-13.303060547817186,-12.787989489447602,-13.947125551260617,-13.119999969579405,-13.503209891870776
gamma[97],-13.3048114433815,-12.803018911552295,-13.954340199391138,-13.123674359282468,-13.505296132093964
gamma[98],-13.297238192872381,-12.805749729719523,-13.950440330427076,-13.120813801619242,-13.496990182750896
gamma[99],-13.289254811717743,-12.806756981624561,-13.910364130348004,-13.115086878000447,-13.486716193544478
gamma[100],-13.274122287312611,-12.793772018360347,-13.865541968178363,-13.101150868730153,-13.46669803152974
gamma[101],-13.252872211988933,-12.783160692727675,-13.830053305905952,-13.090012882036945,-13.437130238987388
gamma[102],-13.22745339167789,-12.777687944959533,-13.765691367254009,-13.071008510373307,-13.400820068406649
gamma[103],-13.196658665820951,-12.756972739684448,-13.71795937643271,-13.046818927200475,-13.362540723029657
gamma[104],-13.17035670744049,-12.752626867043158,-13.673472122407004,-13.02595891271024,-13.325768598299685
gamma[105],-13.137700098752738,-12.738793700056368,-13.618947388539029,-12.995624031449697,-13.28848117104766
gamma[106],-13.09943567330783,-12.703038123535375,-13.571753340608865,-12.965888659956141,-13.246612087373181
gamma[107],-13.06737785433548,-12.66941712967598,-13.517298611440287,-12.934480743719359,-13.208077333028376
gamma[108],-13.035416667790898,-12.639521912884188,-13.47791759332515,-12.900939258389947,-13.172764646400335
gamma[109],-13.006633935110132,-12.612059794491579,-13.429675851454892,-12.876829140950122,-13.138800838239927
gamma[110],-12.987682782046516,-12.605557517263408,-13.397714569146855,-12.857546056860286,-13.120898759593269
gamma[111],-12.9909912374047,-12.6237140201093,-13.391534744187652,-12.8686048020866,-13.117056504216976
gamma[112],-13.017668830252816,-12.660303011029747,-13.414922387824568,-12.89781573462026,-13.142992866863684
gamma[113],-13.053816070085295,-12.701918057153804,-13.456290711189354,-12.928953767320417,-13.185383002800915
gamma[114],-13.088066194203286,-12.71813901187751,-13.509016770838944,-12.956399649379113,-13.22488605613795
gamma[115],-13.107300690196526,-12.711842227123027,-13.54783662660793,-12.967703885948016,-13.255023055329799
gamma[116],-13.122401819477638,-12.71192400748554,-13.58736401857893,-12.973161865163537,-13.27804723085459
gamma[117],-13.133906758865486,-12.700622673123398,-13.609875654004746,-12.97721570811383,-13.291617390274391
gamma[118],-13.140400271866955,-12.685833427695105,-13.635805434117273,-12.978739063975544,-13.304730014580016
gamma[119],-13.141935877279078,-12.687838555524001,-13.654471554695016,-12.979707760984711,-13.310921267798232
gamma[120],-13.147917115124482,-12.684908423221934,-13.673102545385035,-12.983245031005644,-13.315995873785198
gamma[121],-13.153506100217427,-12.684283336525201,-13.685911599255823,-12.991817965879443,-13.326648184350171
gamma[122],-13.16763635173457,-12.688063660167245,-13.69467010554417,-13.003573896219507,-13.334626510040408
gamma[123],-13.178889336096496,-12.708793441321728,-13.698208625161811,-13.012445718773128,-13.346283485555036
gamma[124],-13.18504296311033,-12.728055993521034,-13.718226069355767,-13.02532714876529,-13.354484819196031
gamma[125],-13.197600419222873,-12.749383143956084,-13.735898625248945,-13.039020528862144,-13.368397891174135
gamma[126],-13.20518867391816,-12.77137674614044,-13.740169923908436,-13.050407584698434,-13.371951146561479
gamma[127],-13.210181119101193,-12.788671555023742,-13.731419767748507,-13.05997839771107,-13.372844549914209
gamma[128],-13.21111591016393,-12.798890018091198,-13.719952678859878,-13.065783788532253,-13.367679515393993
gamma[129],-13.209055735977401,-12.79498061378878,-13.69368292344213,-13.066952478689903,-13.358102859299265
gamma[130],-13.200949615142651,-12.791829812850017,-13.673125175260228,-13.062789509861565,-13.345731874368782
gamma[131],-13.19346535916281,-12.778445299947181,-13.646816969734235,-13.05095657060922,-13.336871148956044
gamma[132],-13.18164425231199,-12.752626719219464,-13.616227011649434,-13.041222583125416,-13.325003934585236
gamma[133],-13.164547389656924,-12.731543770969596,-13.592695947275585,-13.022957185738507,-13.307868247414675
gamma[134],-13.148779628668404,-12.719690303289962,-13.568802603678359,-13.002729887176365,-13.289408075449987
gamma[135],-13.131515043820094,-12.705892110975874,-13.551284608439481,-12.986674373580938,-13.272826607732664
gamma[136],-13.116504943831735,-12.696857295294501,-13.534728191977411,-12.974825759048422,-13.256855655187904
gamma[137],-13.104028830492858,-12.710931212648138,-13.5123151924973,-12.964868824628297,-13.244441156919429
gamma[138],-13.098638942648291,-12.712786219553635,-13.514228972528317,-12.962336582993919,-13.238140824267184
gamma[139],-13.094763087514956,-12.714914221617981,-13.516523023422149,-12.959331063132081,-13.236809905930135
gamma[140],-13.101040166747072,-12.729272492373152,-13.529652358952422,-12.969439236419483,-13.241777987503282
gamma[141],-13.106694020373112,-12.729958656466392,-13.545061140200993,-12.97343279100432,-13.24876283367314
gamma[142],-13.109140744136973,-12.723622741678655,-13.568664160204847,-12.972737560025724,-13.25782866344057
gamma[143],-13.110909420807435,-12.700859158376067,-13.568670104310266,-12.967873533602994,-13.26177794529666
gamma[144],-13.10934949859435,-12.690961231189865,-13.581704861949005,-12.961886561602554,-13.261739710095247
gamma[145],-13.101418594573673,-12.671829196470998,-13.593979750595473,-12.952846035599357,-13.260123109848863
gamma[146],-13.092979440243031,-12.656505107582863,-13.608694547260221,-12.940380977916975,-13.255917191294753
gamma[147],-13.091825316533633,-12.634633375197556,-13.626046396203467,-12.934278828819151,-13.25993637063522
gamma[148],-13.085051384422691,-12.617487567188727,-13.644681089905436,-12.919430941844723,-13.260518282097946
gamma[149],-13.081361733418621,-12.588563574140887,-13.667688437144488,-12.910038150150706,-13.268032909707127
gamma[150],-13.086085352576557,-12.54472048381135,-13.693809028458508,-12.896726026117921,-13.283598953250886
gamma[151],-13.095573944653475,-12.507964692756078,-13.730802139188274,-12.893008927880123,-13.30389076616354
gamma[152],-13.102204603970957,-12.439578360690804,-13.771751094296995,-12.881483885024194,-13.324630690059127
gamma[153],-13.108146579478575,-12.335030367085958,-13.81936041682816,-12.86766090492577,-13.346770618974956
gamma[154],-13.11441317179245,-12.294320374340177,-13.875103079630275,-12.852403981662901,-13.370420530333117
gamma[155],-13.120019395033363,-12.23006815285083,-13.942237318410884,-12.835360953478137,-13.396862789000183
gamma[156],-13.128720387704163,-12.178520987646927,-14.016759489831205,-12.824966818427393,-13.425497112003061
I[1],68,103,47,77,60
I[2],203,308,125,234,176
I[3],544,853,291,637,460
I[4],1289,2018,598,1545,1032
I[5],2535,3724,1225,2907,2078
I[6],3980,5209,2198,4437,3454
I[7],4900,6229,3277,5326,4389
I[8],4795,6237,3488,5215,4387
I[9],3856,4927,2664,4209,3459
I[10],2543,3553,1713,2905,2235
I[11],1486,2506,861,1794,1266
I[12],832,1769,301,1063,650
I[13],430,1077,97,620,305
I[14],210,714,32,372,132
I[15],100,484,11,211,57
I[16],47,322,4,121,24
I[17],23,223,2,74,11
I[18],12,151,1,47,5
I[19],7,112,1e-7,29.25,3
I[20],5,84,1,19,2
I[21],4,67,1e-7,14,1
I[22],3,52,1e-7,11,1
I[23],3,43,1e-7,10,1
I[24],3,36,1e-7,9,1
I[25],3,33,1,10,2
I[26],4,33,1e-7,11,2
I[27],4,37,1e-7,13,2
I[28],5,45,1e-7,15,2
I[29],5,54,1,16,3
I[30],6,59,1,18,3
I[31],7,63,1,19,4
I[32],8,64,1,21,4
I[33],9,63,1,21,5
I[34],9,60,1,20,5
I[35],9,56,1,19,5
I[36],8,49,1,17,5
I[37],7,41,1,14,4
I[38],6,34,1,12,3
I[39],5,30,1,9,3
I[40],4,25,1,8,2
I[41],3,21,1,6,2
I[42],3,17,1e-7,5,1
I[43],2,15,1e-7,5,1
I[44],2,13,1e-7,5,1
I[45],2,12,1,4,1
I[46],2,12,1e-7,4,1
I[47],2,11,1,4,1
I[48],2,11,1e-7,4,1
I[49],2,10,1e-7,4,1
I[50],3,11,1,4,1
I[51],3,11,1e-7,5,1
I[52],3,11,1e-7,5,1
I[53],3,12,1e-7,5,2
I[54],4,12,1,6,2
I[55],5,13,1,7,3
I[56],5,14,1,8,4
I[57],6,15,1,9,4
I[58],7,16,2,10,5
I[59],7,17,2,11,5
I[60],8,18,2,11,5
I[61],7,17,2,10,5
I[62],7,17,2,10,4
I[63],6,16,1,9,4
I[64],5,14,1,7,3
I[65],4,13,1,6,3
I[66],3,11,1,5,2
I[67],3,10,1,5,2
I[68],3,9,1,4,2
I[69],2,8,1,4,2
I[70],2,7,1,4,1
I[71],2,7,1e-7,3,1
I[72],2,7,1e-7,3,1
I[73],2,7,1,3,1
I[74],2,7,1e-7,3,1
I[75],2,7,1,4,1
I[76],2,8,1e-7,4,1
I[77],3,8,1,4,2
I[78],3,8,1,4,2
I[79],3,9,1,5,2
I[80],3,9,1,5,2
I[81],3,10,1,5,2
I[82],3,10,1,5,2
I[83],4,10,1,5,2
I[84],4,10,1,5,2
I[85],4,10,1,5,2
I[86],3,10,1,5,2
I[87],3,10,1,5,2
I[88],3,9,1,5,2
I[89],3,9,1,4,2
I[90],3,8,1,4,2
I[91],2,7,1,4,1
I[92],2,7,1,3,1
I[93],2,6,1,3,1
I[94],1,6,1e-7,2,1e-7
I[95],1,5,1e-7,2,1e-7
I[96],1,5,1e-7,2,1e-7
I[97],1,5,1e-7,2,1e-7
I[98],1,5,1e-7,2,1e-7
I[99],1,5,1e-7,2,1e-7
I[100],1,5,1e-7,2,1e-7
I[101],1,6,1e-7,2,1e-7
I[102],1,6,1e-7,3,1e-7
I[103],2,7,1e-7,3,1
I[104],2,8,1,4,1
I[105],3,10,1e-7,5,2
I[106],4,13,1,6,2
I[107],5,16,1,8,3
I[108],7,20,1,11,4
I[109],9,24,2,14,6
I[110],12,29,3,17,8
I[111],16,33,4,21,11
I[112],19,37,6,25,14
I[113],20,40,6,26,14
I[114],19,38,5,25,13
I[115],16,34,4,21,11
I[116],12,29,3,18,8
I[117],9,24,2,14,6
I[118],7,21,1,11,4
I[119],5,18,1,9,3
I[120],4,17,1,7,2
I[121],4,16,1,6,2
I[122],3,15,1e-7,6,2
I[123],3,15,1,5,2
I[124],3,16,1,5,2
I[125],3,18,1e-7,5,2
I[126],3,21,1,6,2
I[127],3,25,1e-7,6,2
I[128],3,29,1e-7,7,1
I[129],4,32,1e-7,8,2
I[130],5,35,1e-7,9,2
I[131],5,36,1,11,3
I[132],7,36,1,13,4
